Aruba;ABW;12307.3117378314;13496.0033851411;14046.5039965619;14936.827039276;16241.0463247117;16439.3563609282;16586.0684357542;17927.7496352086;19078.3431907515;19356.2033894901;20620.7006259175;20669.0319688645;20436.8871286309;20833.7616116694;22569.9749851801;23300.0395575696;24045.2724833547;25835.1326676284;27084.7036903653;24630.4537141023;23512.6025956397;24985.9932813737;24713.6980451285;25025.0995629083;25533.5697803984;25796.3802506382;25239.6004109932
Angola;AGO;947.704182085371;865.69272959239;656.361755960006;441.200673252825;328.673294707808;397.179450769472;522.643807265256;514.295223223424;423.59366023208;387.784316047502;556.836318086553;527.333528536691;872.494491592841;982.960899291112;1255.56404471491;1902.42234554625;2599.56646397608;3121.99563726236;4080.94140992346;3122.78076649385;3587.88379824396;4615.46802807906;5100.09580809767;5254.88233799616;5408.41049555432;4166.97968386501;3506.07288506966
Albania;ALB;617.230435515505;336.586994504629;200.852219772323;367.279225077581;586.416339644261;750.604449178826;1009.97766752106;717.380567391734;813.790263555599;1033.2416930932;1126.68331762741;1281.65939343074;1425.12484888368;1846.11881331912;2373.57984371994;2673.78728253113;2972.74326462176;3595.03716321514;4370.54008654749;4114.14015001395;4094.36211924475;4437.17806741261;4247.61427862374;4413.0817427964;4578.66672031333;3952.82945832578;4124.10890718622
Andorra;AND;18878.5059692988;19532.5401504525;20547.7117897897;16516.4710272204;16234.8090102012;18461.0648581512;19017.1745902241;18353.0597218473;18894.5214963227;19261.7105038886;21936.5301014708;22228.8464928922;24741.4935704562;32776.4422698769;38503.4796144857;41282.0201219785;43747.6918489433;48582.2208830236;47785.089272664;43338.8667579064;39736.3540626699;41100.7299382214;38392.9439012206;40626.7516320228;42300.3341276669;36039.6534962289;37224.1089162924
Arab World;ARB;2006.12708300312;1925.42055393079;2024.03061679983;1993.74197559378;1986.17340340063;2069.44431589776;2232.79367678474;2316.06851371354;2186.37068077205;2329.86453679684;2603.67170971375;2507.93677128845;2474.35737815448;2734.14946514457;3132.30394981358;3763.03404594664;4356.68841474906;4960.64958863061;6143.56120827107;5182.72658022931;5946.25857899362;6890.10551399639;7504.53252479256;7552.72030955995;7498.93831698475;6458.87015899263;6213.7851565211
United Arab Emirates;ARE;27729.4664216648;26612.3355369691;26420.8727534823;25596.6922747864;25847.9261239252;27222.0358561647;28975.0229000791;29512.6637440248;26899.601766231;28470.8378632746;33291.419366353;31280.7842785952;31567.4737120596;33499.0937513705;36333.2498445266;39365.4338996517;41907.405655968;41809.516382842;44498.9342301633;32024.1816031187;33893.303514039;39194.6766208456;40976.4997112455;42412.6302780364;43751.8388860721;38663.3838066363;38141.8467585492
Argentina;ARG;4333.48297312146;5735.36032735223;6823.5376160468;6969.11808781005;7483.13968170844;7408.70823818765;7721.35454273963;8213.12719994479;8289.50572933118;7774.73620280001;7708.10099605414;7208.3715665121;2593.40415042466;3349.8061244115;4277.72135064389;5109.85132522621;5919.01203707753;7245.44831728945;9020.87309807194;8225.13717626412;10385.9644319555;12848.8641969705;13082.664325572;13080.2547323367;12334.7982453893;13789.060424772;12790.2424732447
Armenia;ARM;637.854659491342;590.121047267559;369.632616583198;357.203277745679;400.515238080735;456.375048663809;504.058559449916;523.283068040748;609.172437516102;597.432514707894;622.742139063498;694.42322774468;783.240698647042;930.127321851799;1191.91901957402;1643.7530293611;2158.14369710179;3139.27749894333;4010.85724255226;2994.34254448509;3218.37270660563;3525.80474671153;3681.8574560431;3838.18580148382;3986.23162376713;3607.29669672271;3591.82927553023
Antigua and Barbuda;ATG;7348.21294282384;7601.84849106528;7744.27491660046;8136.16883983425;8770.75163074508;8406.59299171022;9030.97529861385;9492.03825604026;9940.19163925206;10260.5850219076;10920.8426880891;10370.6711296076;10404.4362134662;10789.950959787;11446.6384702767;12547.6130399103;13989.7156660433;15607.0898690088;16024.3455512142;14113.0772600466;13049.2570545735;12746.2050243357;13272.4413293826;12909.7441775006;13501.5809223367;14286.0931598293;15197.6174551735
Australia;AUS;18211.2745901556;18821.4773892062;18569.8127525565;17634.2563519674;18046.0202439789;20319.6306283956;21861.32550987;23468.5968306374;21318.9641694318;20533.035061907;21679.2478424147;19490.8611097303;20082.4832672749;23447.0310006717;30430.6764374443;33999.2428575835;36044.9228108485;40960.0544948199;49601.6567082178;42772.3591664498;52022.1255961876;62517.8337471503;68012.1479005934;68150.1070413215;62510.7911705641;56755.7217124249;49971.131456129
Austria;AUT;21680.9896863626;22410.9117362704;24880.164070125;24081.5278077646;25646.7006591684;30325.8495818396;29809.0767730821;26705.4785993891;27361.8751106437;27174.2971559775;24564.4582948404;24537.5142629883;26401.7454564357;32222.8972411655;36821.5214680093;38403.1338770715;40635.2818159724;46855.7717452095;51708.7657541758;47963.1794023217;46858.0432733717;51374.9584066934;48567.69528642;50716.7087062864;51717.4959405515;44178.0473777432;45237.8050921543
Azerbaijan;AZE;1237.324491677;1209.23749284959;676.15151145252;529.813661843287;436.216868966934;397.198116117247;409.210755159618;505.563774721979;561.907035403795;573.893296585846;655.097432602586;703.683843432722;763.080637985358;883.64399654717;1045.00937916805;1578.40239029603;2473.08181863536;3851.43786871172;5574.60380218613;4950.29479142375;5842.80578358576;7189.69122920765;7496.29464768263;7875.75695254288;7891.31314749986;5500.32049702735;3880.73873089556
